,City,Latitude,Longtitude,Temp,Cloudiness,Wind Speed,Humidity
109,maun,-19.9833,23.4167,26.0,75,2.57,94
110,banda aceh,5.5577,95.3222,25.5,7,4.39,83
111,dali,25.7,100.1833,7.19,0,1.74,57
112,luderitz,-26.6481,15.1594,24.62,0,12.43,47
113,pitimbu,-7.4706,-34.8086,31.0,20,5.14,55
114,pisco,-13.7,-76.2167,23.39,0,4.12,78
115,zyryanka,65.75,150.85,-26.89,100,2.03,89
116,barrow,71.2906,-156.7887,-27.0,90,5.66,69
117,faanui,-16.4833,-151.75,27.31,60,3.15,67
118,torbay,47.6666,-52.7314,5.0,75,6.69,93
119,temple,31.0982,-97.3428,10.21,75,5.14,53
120,bulgan,48.8125,103.5347,-14.46,100,1.6,93
121,fare,-16.7,-151.0167,27.08,59,2.57,67
122,sebinkarahisar,40.2883,38.4236,-0.22,63,1.75,96
123,sitka,57.0531,-135.33,1.0,90,0.92,100
124,gazanjyk,39.2446,55.5154,16.01,83,3.01,32
125,bara,10.3744,10.7288,28.37,18,4.51,16
126,mayo,38.8876,-76.5119,10.38,1,3.6,57
127,chapais,49.7834,-74.8492,-6.0,1,5.66,79
128,adwa,14.1646,38.8955,14.57,10,4.95,40
129,chabahar,25.2919,60.643,20.56,0,2.14,60
130,kashary,49.04,41.0056,-4.07,100,8.68,87
131,pimentel,-6.8367,-79.9342,24.36,75,5.66,61
132,prince rupert,54.3161,-130.3201,3.62,75,3.6,81
133,clyde river,70.4692,-68.5914,-29.0,75,4.63,76
134,ormara,25.2088,64.6357,20.32,0,2.93,54
135,ortigueira,-24.2083,-50.9494,26.3,0,2.96,48
136,chuy,-33.6971,-53.4616,21.48,69,5.93,61
137,east london,-33.0153,27.9116,21.0,75,4.63,100
138,sebrovo,50.0981,43.2976,-5.07,100,9.23,94
139,buala,-8.145,159.5921,26.8,46,4.81,79
140,ribeira grande,38.5167,-28.7,16.0,40,7.2,63
141,peniche,39.3558,-9.3811,11.72,100,6.26,83
142,tuytepa,41.0321,69.3625,7.0,0,3.09,45
143,anadyr,64.75,177.4833,-17.0,40,3.0,71
144,kruisfontein,-34.0033,24.7314,23.89,1,2.68,73
145,gamba,-2.65,10.0,26.27,41,2.82,84
146,altamira,-3.2033,-52.2064,30.0,75,1.54,70
147,okakarara,-20.5833,17.4333,26.81,84,1.59,44
148,padang,-0.9492,100.3543,25.0,40,1.54,94
149,sarangani,5.4033,125.4636,27.91,100,7.34,76
150,lavrentiya,65.5833,-171.0,-16.34,100,7.34,92
151,murgab,37.4966,61.9714,13.0,75,2.06,50
152,asadabad,34.7824,48.1185,5.43,100,4.14,84
153,ulladulla,-35.35,150.4667,21.17,100,4.63,88
154,port alfred,-33.5906,26.891,21.11,99,1.34,92
155,la ronge,55.1001,-105.2842,-31.0,16,3.6,62
156,paamiut,61.994,-49.6678,-6.08,0,3.95,77
157,alofi,-19.0595,-169.9187,24.0,100,4.63,100
158,nanakuli,21.3906,-158.1547,15.55,90,1.54,82
159,sao joao da barra,-21.6403,-41.0511,29.0,0,2.06,65
160,panjab,34.388,67.0233,-11.59,6,0.98,53
161,carnarvon,-24.8667,113.6333,27.0,90,9.77,79
162,ilulissat,69.2167,-51.1,-13.0,20,6.17,43
163,koutsouras,35.0339,25.9469,15.56,80,2.51,81
164,sistranda,63.7256,8.834,-6.0,75,7.2,86
165,asau,46.4333,26.4,2.78,99,1.03,74
166,katsuura,35.1333,140.3,6.98,75,2.57,76
167,codrington,-38.2667,141.9667,12.12,30,4.9,90
168,walvis bay,-22.9575,14.5053,19.49,75,3.6,73
169,lahijan,37.2061,50.0029,22.0,75,4.12,28
170,port hueneme,34.1478,-119.1951,14.42,1,2.25,76
171,surgut,61.25,73.4167,-12.0,90,3.0,100
172,pevek,69.7008,170.3133,-25.54,79,1.1,87
173,puerto leguizamo,-0.1934,-74.7819,29.04,88,0.97,77
174,udupi,13.35,74.75,26.0,0,3.16,78
175,san cristobal,7.7669,-72.225,31.0,40,7.2,48
176,dikson,73.5069,80.5464,-35.93,4,4.9,83
177,grindavik,63.8424,-22.4338,3.0,75,10.29,81
178,gunnedah,-30.9833,150.25,20.0,98,2.57,88
179,veraval,20.9,70.3667,21.44,0,7.58,34
180,alice springs,-23.7,133.8833,22.56,90,4.12,53
181,antalaha,-14.9003,50.2788,25.51,8,1.55,85
182,martapura,-3.4167,114.85,23.0,75,1.03,100
183,pecos,31.4229,-103.4932,10.0,1,1.91,46
184,gorontalo,0.5412,123.0595,23.97,100,1.7,88
185,egvekinot,66.3167,-179.1667,-25.78,100,8.01,91
186,souillac,-20.5167,57.5167,27.0,40,3.6,78
187,fayaoue,-20.65,166.5333,26.52,1,5.86,82
188,klaksvik,62.2266,-6.589,1.0,20,2.57,69
189,pangnirtung,66.1451,-65.7125,-12.0,90,2.06,72
190,ocos,14.5094,-92.1933,30.0,20,3.09,58
191,aksu,41.1231,80.2644,-2.98,34,1.18,84
192,olafsvik,64.8945,-23.7142,3.35,100,14.68,81
193,zhangye,38.9342,100.4517,-1.11,24,2.29,63
194,berlevag,70.8578,29.0864,-1.75,75,9.26,64
195,kananga,-5.8958,22.4178,24.97,60,1.13,68
196,sao filipe,14.8961,-24.4956,22.0,100,6.47,72
197,lyantonde,-0.4031,31.1572,22.15,100,0.62,69
198,cidreira,-30.1811,-50.2056,24.01,72,8.31,59
199,sirvintos,55.05,24.95,-8.47,75,1.03,86
200,kavieng,-2.5744,150.7967,26.92,100,5.52,82
201,saint-augustin,51.226,-58.6502,0.42,100,7.84,96
202,aitape,-3.1374,142.3475,25.31,100,0.09,82
203,saldanha,-33.0117,17.9442,22.0,1,8.75,64
204,yanam,16.7333,82.2167,25.0,57,2.57,61
205,manitowoc,44.0667,-87.8001,-12.58,75,10.8,67
206,porto novo,6.4965,2.6036,31.0,20,5.66,74
207,geraldton,-28.7667,114.6,18.0,90,7.2,82
208,talnakh,69.4865,88.3972,-32.13,99,2.21,84
209,clute,29.0247,-95.3988,14.08,90,4.63,51
210,avera,33.194,-82.5271,11.89,90,2.57,73
211,luena,-11.7833,19.9167,18.87,39,1.08,91
212,bonthe,7.5264,-12.505,28.75,97,5.12,59
213,yulara,-25.2406,130.9889,21.0,25,3.6,30
214,fukagawa,43.7081,142.0392,-5.88,91,2.24,96
215,constitucion,-35.3333,-72.4167,18.5,79,2.71,67
216,cherskiy,68.75,161.3,-25.87,0,2.32,78
217,camacha,33.0833,-16.3333,15.0,40,9.77,67
218,meulaboh,4.1363,96.1285,25.16,60,2.08,86
219,marienburg,54.0359,19.0266,-7.21,18,1.8,81
220,skjervoy,70.0311,20.9714,-1.0,90,3.09,86
221,gainesville,29.6516,-82.3248,14.65,90,2.57,100
222,pangody,65.85,74.4859,-28.47,90,2.26,86
223,fortuna,40.5982,-124.1573,6.88,90,1.91,93
224,chipinge,-20.1883,32.6236,20.33,86,2.37,95
225,narsaq,60.9167,-46.05,-6.0,1,1.54,30
226,cockburn town,21.4612,-71.1419,24.97,3,8.23,80
227,warri,5.5167,5.75,28.86,25,4.46,70
228,qaqortoq,60.7167,-46.0333,-6.0,1,1.54,30
229,pangkalanbuun,-2.6833,111.6167,23.84,92,1.2,97
230,aguimes,27.9054,-15.4461,15.46,75,7.72,67
231,colac,-38.3333,143.5833,12.22,75,4.02,96
232,northam,51.0333,-4.2167,5.17,23,3.49,92
233,namibe,-15.1961,12.1522,22.6,7,3.88,78
234,karlskrona,56.1616,15.5866,-9.0,0,3.09,86
235,sidi ali,36.0998,0.4206,20.61,83,7.18,29
236,buin,-33.7333,-70.75,23.84,7,2.06,53
237,sambava,-14.2667,50.1667,26.12,14,1.6,80
238,pangobilian,8.8011,117.8594,26.03,100,3.74,80
239,mbandaka,0.0487,18.2603,27.01,33,0.31,61
240,almaznyy,48.0448,40.045,-1.0,75,7.0,74
241,ust-tsilma,65.441,52.1498,-23.6,100,3.67,88
242,ishigaki,24.3448,124.1572,20.78,94,3.44,61
243,the valley,18.217,-63.0578,28.38,20,7.2,65
244,morgan city,29.6994,-91.2068,11.79,90,5.14,62
245,wattegama,6.7989,81.4808,23.08,100,3.0,85
246,aurora,39.7294,-104.8319,2.39,75,3.6,30
247,cabo rojo,18.0866,-67.1457,28.83,7,3.13,67
248,yilan,24.757,121.753,15.56,0,1.02,99
249,baruun-urt,46.6806,113.2792,-13.29,100,4.19,89
250,yar-sale,66.8333,70.8333,-31.15,97,2.75,86
251,kiunga,-6.1219,141.2906,23.11,100,0.64,98
252,grand-santi,4.25,-54.3833,27.18,80,2.78,80
253,labuhan,-6.8844,112.2051,25.78,99,5.51,85
254,dalby,-27.1833,151.2667,20.0,6,0.45,79
255,vostok,46.4856,135.8833,-17.31,100,1.21,94
256,katubao,5.8892,124.8294,26.38,99,1.85,71
257,ponta do sol,32.6667,-17.1,10.33,54,3.13,59
258,chingirlau,51.095,54.0814,1.27,100,5.25,95
259,fenoarivo,-18.933,47.4354,22.0,75,3.09,78
260,kloulklubed,7.0419,134.2556,27.0,75,3.09,83
261,lompoc,34.6391,-120.4579,10.96,1,1.54,76
262,lebu,-37.6167,-73.65,18.94,37,6.23,68
263,bambous virieux,-20.3428,57.7575,26.58,40,3.6,78
264,silistea,44.3833,25.35,7.97,69,3.43,77
265,boddam,57.4667,-1.7833,1.54,90,6.69,81
266,carroll,39.5501,-77.0164,8.65,1,3.09,61
267,padre paraiso,-17.0742,-41.4844,31.2,99,0.76,45
268,bhunya,-26.55,31.0167,19.78,79,1.53,93
269,kruje,41.5092,19.7928,11.0,0,1.54,82
270,sibolga,1.7427,98.7792,24.7,100,1.54,83
271,ozark,37.0209,-93.206,6.36,20,4.47,44
272,saint augustine,29.8947,-81.3145,16.0,90,3.6,55
273,vardo,70.3705,31.1107,-3.0,90,5.66,93
274,paraisopolis,-22.5542,-45.78,26.0,75,2.57,83
275,pemangkat,1.1667,108.9667,24.14,100,3.33,91
276,flin flon,54.7682,-101.865,-28.0,20,7.2,63
277,keti bandar,24.1447,67.4497,19.19,0,3.24,60
278,thunder bay,48.4001,-89.3168,-16.9,90,7.2,66
279,hamilton,39.1834,-84.5333,0.06,75,8.23,51
280,karratha,-20.7377,116.8463,26.66,12,3.83,79
281,ondjiva,-17.0667,15.7333,34.0,40,3.09,26
282,saint-georges,12.0564,-61.7485,28.0,75,11.83,65
283,englehart,47.8169,-79.8664,-1.0,90,7.72,93
284,tuatapere,-46.1333,167.6833,11.2,80,1.14,90
285,salalah,17.0151,54.0924,24.0,40,2.57,64
286,yelets,52.6237,38.5017,-13.89,94,5.12,94
287,khatanga,71.9667,102.5,-34.05,58,3.73,79
288,santo antonio do ica,-3.1022,-67.9397,26.94,100,2.55,84
289,vieux-habitants,16.0589,-61.7659,27.0,75,7.72,69
290,kansanshi,-12.0951,26.4273,18.32,100,0.21,92
291,medicine hat,50.0501,-110.6683,-16.42,90,4.12,78
292,lagoa,39.05,-27.9833,13.71,88,6.78,79
293,canutama,-6.5339,-64.3831,28.6,100,0.9,86
294,salmon creek,45.7107,-122.649,7.0,90,1.54,81
295,flinders,-34.5833,150.8552,22.87,100,1.79,84
296,broome,42.2506,-75.833,4.15,40,5.66,65
297,kachiry,53.0675,76.1036,-1.62,100,2.95,99
298,assiniboia,49.6334,-105.9845,-19.0,100,6.17,71
299,aklavik,68.2191,-135.0107,-36.0,20,1.54,68
300,upernavik,72.7868,-56.1549,-15.41,99,1.26,74
301,la rioja,42.25,-2.5,13.0,0,5.14,71
302,casablanca,33.5928,-7.6192,14.51,40,3.09,72
303,yenagoa,4.9247,6.2642,29.32,39,4.23,68
304,deputatskiy,69.3,139.9,-36.44,91,0.13,86
305,mackay,-21.15,149.2,23.51,90,1.03,88
306,riyadh,24.6877,46.7219,23.0,0,4.63,14
307,kargasok,59.0556,80.8572,-13.42,98,3.16,95
308,hay river,60.8156,-115.7999,-33.0,100,5.66,68
309,vanimo,-2.6741,141.3028,25.86,100,2.15,82
310,vzmorye,54.6961,20.2361,-2.11,75,4.0,74
311,beringovskiy,63.05,179.3167,-21.69,100,5.24,89
312,durban,-29.8579,31.0292,25.71,40,1.54,88
313,weiser,44.251,-116.9693,5.02,90,2.06,65
314,lorengau,-2.0226,147.2712,27.08,90,1.16,76
315,coracao de jesus,-16.6853,-44.365,33.0,40,3.09,35
316,lashio,22.9333,97.75,11.92,3,0.71,65
317,launceston,-41.45,147.1667,19.07,75,3.6,94
318,mehamn,71.0357,27.8492,-1.0,75,11.32,74
319,lalpur,22.2,69.9667,19.0,0,4.12,45
320,gravelbourg,49.8834,-106.5512,-19.0,100,6.17,71
321,baca,21.1,-89.4167,28.17,1,5.14,51
322,wuan,31.6836,112.0044,8.96,0,1.77,70
323,rio gallegos,-51.6226,-69.2181,17.0,75,12.35,27
324,veracruz,19.3333,-96.6667,26.94,1,4.12,65
325,hualmay,-11.0964,-77.6139,24.43,80,5.08,63
326,kiama,-34.6833,150.8667,22.61,100,4.02,87
327,lasa,46.6166,10.7002,3.88,0,1.53,80
328,bata,1.8639,9.7658,30.0,40,3.09,84
329,abha,18.2164,42.5053,14.47,0,2.57,72
330,korostyshiv,50.3172,29.0563,-6.04,2,2.73,91
331,saint-francois,46.4154,3.9054,10.26,0,4.63,87
332,pak phanang,8.3511,100.202,25.61,88,4.34,84
333,ponta delgada,37.7333,-25.6667,14.0,40,7.2,62
334,maragogi,-9.0122,-35.2225,28.77,38,6.2,65
335,benton harbor,42.1167,-86.4542,-7.83,90,13.89,67
336,chalus,36.655,51.4204,15.0,75,1.03,72
337,igurusi,-8.85,33.85,19.52,50,1.11,80
338,arman,59.7,150.1667,-21.27,98,5.29,82
339,neuquen,-38.9516,-68.0591,36.0,0,3.09,11
340,alyangula,-13.8483,136.4192,26.0,90,3.09,94
341,las palmas,28.4204,-14.0131,17.0,40,4.63,63
342,omsukchan,62.5333,155.8,-31.26,89,1.3,83
343,xichang,27.8964,102.2634,6.23,0,0.43,63
344,bereda,43.2686,-7.5406,8.51,100,5.81,99
345,sokol,59.4617,40.1206,-16.93,100,4.01,93
346,ust-nera,64.5667,143.2,-26.42,100,1.46,80
347,carlagan,14.975,122.0456,24.74,99,7.99,83
348,acapulco,16.8634,-99.8901,29.0,75,2.25,65
349,takapau,-40.0333,176.35,11.67,69,0.97,93
350,tonantins,-2.8731,-67.8022,26.89,100,2.18,92
351,albert town,18.2943,-77.5424,29.0,20,6.17,74
352,cradock,-32.1642,25.6192,21.67,16,5.0,73
353,muhos,64.808,25.9931,-10.29,0,3.6,85
354,campbell river,50.0163,-125.2446,4.21,40,5.14,100
355,basco,20.4487,121.9702,22.06,16,7.3,81
356,iquique,-20.2208,-70.1431,24.0,0,4.63,60
357,jiayuguan,39.8167,98.3,-1.51,95,1.02,69
358,taseyevo,57.2169,94.8978,-16.47,86,1.78,93
359,patawag,8.1064,122.6208,25.43,85,3.47,85
360,eyl,7.9803,49.8164,23.12,53,5.81,74
361,longjiang,47.3303,123.1836,-19.38,87,2.14,91
362,jay,44.5039,-70.2162,-2.38,100,0.89,91
363,khonsa,27.0167,95.5667,12.95,1,1.73,61
364,maldonado,-34.6667,-54.9167,22.11,75,5.66,60
365,abdulino,53.7,53.6667,1.53,100,8.55,98
366,cap malheureux,-19.9842,57.6142,26.11,0,0.89,77
367,tiarei,-17.5333,-149.3333,27.78,19,0.89,65
368,ketchikan,55.3422,-131.6461,1.79,1,1.54,86
369,union,40.6334,-74.2663,5.91,40,3.09,65
370,rongcheng,30.634,117.8517,8.09,8,1.45,90
371,ocho rios,18.4025,-77.1048,29.08,28,3.13,86
372,methoni,36.8197,21.7049,13.73,0,2.06,82
373,okha,53.5739,142.9478,-22.28,100,8.07,89
374,ciudad bolivar,8.1222,-63.5497,33.39,90,5.0,39
375,mago,53.2514,140.1822,-23.69,100,1.93,90
376,yashan,22.1975,109.9419,15.6,0,0.72,87
377,batagay-alyta,67.8006,130.4114,-33.66,99,0.62,83
378,salina,38.8403,-97.6114,6.95,1,2.57,49
379,rehoboth,-23.3167,17.0833,28.79,84,6.44,37
380,manaus,-3.1019,-60.025,32.0,40,2.57,66
381,shenjiamen,29.9576,122.298,10.02,98,4.65,90
382,half moon bay,37.4636,-122.4286,11.73,1,1.35,71
383,namatanai,-3.6667,152.4333,25.82,97,4.89,87
384,roma,43.2128,-75.4557,4.35,90,4.63,60
385,gizycko,54.0381,21.7644,-8.56,30,3.26,95
386,weligama,5.9667,80.4167,24.22,92,2.44,83
387,guarda,40.5373,-7.2658,8.89,100,0.45,93
388,adrar,20.5022,-10.0711,24.39,33,3.5,20
389,taoyuan,32.2972,120.6167,8.14,16,2.47,99
390,robertsport,6.7533,-11.3686,27.58,74,5.63,78
391,atasu,48.6814,71.6433,-2.19,100,3.93,98
392,khudumelapye,-23.8833,24.75,19.61,100,3.89,92
393,inuvik,68.3499,-133.7218,-35.49,99,0.51,68
394,diu,20.7141,70.9822,18.7,0,2.89,41
395,santos dumont,-21.4567,-43.5525,25.47,75,5.14,73
396,ilhabela,-23.7781,-45.3581,24.2,71,4.06,87
397,kavaratti,10.5669,72.642,27.17,9,5.43,78
398,nhulunbuy,-12.2333,136.7667,26.0,90,4.12,89
399,tagusao,9.1924,117.8141,25.82,100,1.96,81
400,maumere,-8.6199,122.2111,26.68,100,0.96,78
401,antofagasta,-23.65,-70.4,22.8,20,6.17,64
402,loralai,30.3705,68.598,7.63,0,1.49,46
403,punta,8.9897,125.34,24.51,68,2.51,85
404,dingle,10.9995,122.6711,23.87,97,3.01,90
405,mandalgovi,45.7625,106.2708,-9.96,100,4.38,89
406,kodiak,57.79,-152.4072,-4.0,1,2.06,80
407,nizhniy tsasuchey,50.5167,115.1333,-17.76,73,4.37,88
408,wanning,18.8003,110.3967,19.64,43,2.5,90
409,marawi,7.9986,124.2928,23.33,91,2.24,92
410,mwinilunga,-11.7358,24.4293,19.33,45,0.71,84
411,vila franca do campo,37.7167,-25.4333,14.0,40,7.2,62
412,albina,5.5,-54.05,27.43,99,2.59,73
413,winslow,35.0242,-110.6974,4.33,1,0.91,41
414,fergus falls,46.283,-96.0776,-16.9,40,9.26,78
415,nova olimpia,-14.7972,-57.2881,32.39,73,2.99,51
416,nome,64.5011,-165.4064,-9.0,90,11.32,79
417,fort-shevchenko,44.5086,50.263,5.39,100,5.44,88
418,samarinda,-0.5,117.15,23.17,100,0.11,96
419,tondano,1.3038,124.9112,24.0,40,1.03,94
420,paine,-33.8167,-70.75,22.11,90,2.43,88
421,isangel,-19.55,169.2667,25.19,21,0.48,78
422,beyneu,45.3167,55.2,8.39,45,5.25,56
423,yakeshi,49.2833,120.7333,-26.1,3,1.28,87
424,prado,-17.3411,-39.2208,29.42,80,8.14,69
425,waslala,13.2333,-85.3833,24.0,40,1.74,69
426,pouembout,-21.1333,164.9,23.4,6,1.17,87
427,vanino,49.0869,140.2543,-22.47,39,1.63,83
428,kurtamysh,54.9103,64.4319,1.28,100,4.46,97
429,moussoro,13.6408,16.4901,24.08,0,5.61,18
430,cervo,43.6702,-7.4101,11.67,100,0.89,85
431,arrifes,37.7667,-25.7,14.0,40,7.2,62
432,centralia,46.7162,-122.9543,8.15,90,1.54,93
433,paraiso,9.8383,-83.8656,27.53,0,5.66,47
434,petropavlovsk-kamchatskiy,53.0452,158.6483,-22.0,32,5.0,64
435,kumluca,36.3703,30.2869,17.04,0,1.66,52
436,mporokoso,-9.3727,30.125,18.75,97,0.35,91
437,fomboni,-12.28,43.7425,29.19,11,1.6,66
438,umm kaddadah,13.6017,26.6876,18.96,0,7.45,25
439,praia,14.9215,-23.5087,23.0,75,11.83,60
440,kitimat,54.0524,-128.6534,1.11,100,1.03,96
441,imperial,33.0334,-115.4175,14.75,1,1.93,35
442,linshui,36.4247,114.2047,8.87,0,3.56,42
443,baiquan,47.5833,126.0833,-23.46,95,2.12,89
444,henties bay,-22.116,14.2845,18.89,31,0.89,87
445,wilmington island,32.0036,-80.9737,16.37,90,4.12,67
446,aden,12.7794,45.0367,23.77,6,8.82,69
447,ibra,22.6906,58.5334,14.03,0,0.74,63
448,ostrovnoy,68.0531,39.5131,-11.0,100,5.98,92
449,yaring,6.8662,101.3689,24.54,95,5.22,86
450,bykivka,50.2929,27.9831,-6.3,33,2.11,93
451,tautira,-17.7333,-149.15,27.78,19,0.89,65
452,nukus,42.4531,59.6103,11.0,0,4.12,58
453,manitouwadge,49.1215,-85.8403,-13.39,90,3.6,78
454,freeport,40.6576,-73.5832,5.1,90,6.17,81
455,guerrero negro,27.9769,-114.0611,18.92,0,3.44,49
456,zhigansk,66.7697,123.3711,-40.63,36,1.79,75
457,sao paulo de olivenca,-3.3783,-68.8725,23.73,100,2.38,97
458,vao,-22.6667,167.4833,25.6,4,6.58,86
459,almeirim,-1.5233,-52.5817,33.0,48,2.75,49
460,nalut,30.3333,10.85,18.48,84,5.53,26
461,eureka,40.8021,-124.1637,6.27,20,1.48,100
462,pedernales,18.0384,-71.744,29.74,3,4.87,56
463,san rafael,-34.6177,-68.3301,30.53,0,4.85,19
464,iracoubo,5.4802,-53.2011,26.05,88,6.4,83
465,turukhansk,65.8167,87.9833,-30.74,100,2.33,87
466,axim,4.8699,-2.2405,27.53,7,3.75,82
